,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,grindavik,90,IS,1540697400,100,63.84,-22.43,279.15,16.5
1,bambous virieux,20,MU,1540695600,77,-20.34,57.76,293.15,2.6
2,longyearbyen,75,NO,1540698600,73,78.22,15.63,266.15,2.6
3,kapaa,40,US,1540695360,69,22.08,-159.32,302.15,6.2
4,gillette,1,US,1540698780,86,44.29,-105.5,276.15,4.1
